iter	Passed	Remaining
0	97	97451
1	196	98050
2	292	97317
3	386	96127
4	486	96835
5	581	96355
6	669	95015
7	771	95688
8	868	95652
9	963	95435
10	1064	95714
11	1160	95542
12	1254	95274
13	1360	95828
14	1454	95504
15	1545	95053
16	1639	94799
17	1733	94598
18	1824	94188
19	1927	94461
20	2020	94182
21	2107	93702
22	2199	93449
23	2276	92578
24	2347	91553
25	2429	91002
26	2510	90466
27	2588	89849
28	2664	89198
29	2739	88568
30	2806	87723
31	2878	87072
32	2953	86544
33	3019	85796
34	3081	84957
35	3151	84384
36	3220	83812
37	3288	83248
38	3358	82748
39	3427	82256
40	3492	81684
41	3559	81191
42	3625	80678
43	3686	80106
44	3753	79661
45	3821	79263
46	3889	78871
47	3960	78543
48	4023	78085
49	4090	77710
50	4153	77290
51	4221	76964
52	4288	76628
53	4348	76177
54	4413	75837
55	4491	75714
56	4573	75657
57	4646	75460
58	4710	75124
59	4781	74903
60	4851	74681
61	4928	74561
62	4999	74350
63	5065	74087
64	5133	73840
65	5196	73540
66	5268	73363
67	5333	73102
68	5393	72770
69	5478	72786
70	5551	72633
71	5629	72556
72	5708	72487
73	5782	72360
74	5858	72258
75	5925	72044
76	6005	71993
77	6077	71836
78	6160	71819
79	6235	71707
80	6308	71568
81	6400	71648
82	6548	72345
83	6645	72471
84	6723	72371
85	6796	72229
86	6866	72059
87	6947	71996
88	7024	71903
89	7111	71902
90	7226	72184
91	7357	72614
92	7454	72702
93	7529	72574
94	7594	72345
95	7664	72172
96	7743	72082
97	7824	72012
98	7890	71811
99	7964	71677
100	8028	71457
101	8095	71272
102	8170	71157
103	8253	71110
104	8340	71093
105	8416	70981
106	8486	70828
107	8567	70763
108	8636	70597
109	8719	70546
110	8789	70392
111	8859	70245
112	8929	70089
113	9014	70062
114	9087	69936
115	9156	69777
116	9214	69543
117	9291	69449
118	9375	69413
119	9500	69666
120	9614	69844
121	9706	69851
122	9783	69759
123	9869	69722
124	9958	69706
125	10051	69721
126	10136	69678
127	10230	69698
128	10319	69679
129	10408	69658
130	10485	69554
131	10575	69542
132	10657	69476
133	10737	69394
134	10822	69345
135	10916	69349
136	10985	69200
137	11067	69133
138	11159	69125
139	11243	69069
140	11313	68925
141	11389	68820
142	11459	68679
143	11559	68715
144	11645	68665
145	11723	68572
146	11797	68455
147	11882	68406
148	11967	68352
149	12045	68259
150	12127	68189
151	12204	68088
152	12287	68022
153	12362	67911
154	12483	68057
155	12567	67992
156	12649	67919
157	12742	67904
158	12842	67926
159	12929	67878
160	12998	67738
161	13078	67654
162	13154	67549
163	13230	67441
164	13308	67349
165	13382	67237
166	13456	67119
167	13528	66999
168	13602	66884
169	13672	66755
170	13740	66615
171	13820	66532
172	13896	66431
173	13993	66426
174	14066	66312
175	14136	66185
176	14220	66120
177	14299	66036
178	14390	66004
179	14465	65899
180	14546	65822
181	14625	65736
182	14707	65662
183	14786	65576
184	14860	65466
185	14939	65378
186	15021	65307
187	15105	65241
188	15186	65165
189	15267	65089
190	15340	64977
191	15422	64904
192	15522	64906
193	15617	64886
194	15710	64854
195	15800	64814
196	15878	64721
197	15970	64686
198	16103	64819
199	16201	64804
200	16284	64733
201	16357	64621
202	16447	64576
203	16530	64500
204	16601	64381
205	16674	64271
206	16740	64130
207	16810	64008
208	16886	63908
209	16954	63781
210	17027	63671
211	17094	63538
212	17157	63394
213	17235	63304
214	17306	63188
215	17386	63105
216	17460	63004
217	17527	62874
218	17595	62750
219	17677	62673
220	17750	62568
221	17815	62435
222	17879	62297
223	17955	62201
224	18028	62097
225	18104	62005
226	18178	61904
227	18263	61839
228	18346	61768
229	18423	61678
230	18507	61611
231	18576	61495
232	18651	61397
233	18729	61309
234	18798	61193
235	18865	61073
236	18937	60966
237	19015	60880
238	19091	60788
239	19161	60679
240	19228	60558
241	19295	60438
242	19367	60332
243	19430	60203
244	19510	60124
245	19585	60029
246	19663	59944
247	19736	59846
248	19800	59719
249	19868	59605
250	19943	59512
251	20007	59386
252	20080	59289
253	20150	59181
254	20221	59077
255	20286	58957
256	20357	58854
257	20427	58748
258	20494	58635
259	20570	58545
260	20643	58450
261	20707	58328
262	20770	58204
263	20837	58093
264	20902	57974
265	20968	57860
266	21041	57764
267	21105	57646
268	21166	57518
269	21229	57397
270	21296	57289
271	21365	57184
272	21432	57074
273	21493	56949
274	21554	56826
275	21617	56705
276	21678	56584
277	21751	56491
278	21820	56388
279	21881	56267
280	21946	56156
281	22023	56072
282	22089	55964
283	22149	55842
284	22226	55761
285	22312	55702
286	22407	55667
287	22480	55577
288	22553	55485
289	22648	55449
290	22729	55378
291	22820	55332
292	22897	55249
293	22972	55166
294	23042	55067
295	23107	54957
296	23179	54866
297	23252	54776
298	23325	54685
299	23391	54580
