id,Listening_Time_minutes
750000,54.416435
750001,18.793406
750002,47.94108
750003,74.70837
750004,47.31756
750005,21.395737
750006,87.91838
750007,39.221737
750008,64.14898
750009,76.18678
750010,14.4176655
750011,23.136534
750012,34.48672
750013,49.976864
750014,49.198128
750015,57.690582
750016,41.22424
750017,35.797173
750018,59.284294
750019,41.397537
750020,35.32341
750021,56.34641
750022,77.102066
750023,31.472805
750024,57.236977
750025,40.56371
750026,11.457179
750027,25.138563
750028,38.372784
750029,48.2749
750030,39.160934
750031,34.445232
750032,14.580421
750033,58.67659
750034,26.233038
750035,23.950016
750036,15.271813
750037,37.34742
750038,25.694427
750039,22.784445
750040,14.578954
750041,84.97336
750042,68.92494
750043,68.9843
750044,49.926334
750045,29.36951
750046,15.222199
750047,52.400078
750048,16.084688
750049,7.7382984
750050,86.86759
750051,22.27667
750052,50.7231
750053,76.34824
750054,17.030777
750055,17.277365
750056,74.92869
750057,57.013317
750058,20.665895
750059,43.489017
750060,50.83891
750061,37.701065
750062,68.545845
750063,77.24663
750064,44.363632
750065,15.525968
750066,67.93896
750067,42.17472
750068,56.12725
750069,37.86342
750070,35.75088
750071,43.346066
750072,43.19204
750073,28.486952
750074,44.77075
750075,95.40262
750076,15.62604
750077,11.663438
750078,74.58068
750079,87.322296
750080,45.823402
750081,87.67184
750082,17.579493
750083,72.87213
750084,70.24415
750085,64.0664
750086,53.89989
750087,92.4818
750088,11.912239
750089,47.49016
750090,62.059578
750091,69.16127
750092,40.269695
750093,31.490406
750094,49.904713
750095,32.31926
750096,5.0912037
750097,30.279064
750098,35.557373
750099,14.004726
750100,46.425007
750101,49.24772
750102,50.47542
750103,50.880665
750104,30.349184
750105,31.653053
750106,26.154799
750107,91.74414
750108,57.815956
750109,38.11213
750110,53.427834
750111,24.603928
750112,5.044393
750113,73.45749
750114,57.23501
750115,76.43209
750116,84.84332
750117,66.67314
750118,50.513092
750119,21.20155
750120,3.0312421
750121,60.24556
750122,76.776825
750123,62.282658
750124,35.819557
750125,22.145592
750126,68.75418
750127,3.8094459
750128,5.1149154
750129,17.37989
750130,46.08178
750131,28.840052
750132,4.3318477
750133,46.117294
750134,80.489235
750135,33.692772
750136,41.884266
750137,11.800597
750138,94.63217
750139,59.438984
750140,55.958378
750141,50.11578
750142,50.420166
750143,30.817648
750144,61.207787
750145,51.342827
750146,72.3827
750147,65.59469
750148,51.611572
750149,6.1040883
750150,28.590944
750151,45.769882
750152,52.3444
750153,55.826195
750154,59.137897
750155,15.021061
750156,4.527439
750157,72.68136
750158,20.719063
750159,34.333023
750160,52.524326
750161,52.320004
750162,60.512337
750163,19.976665
750164,85.27059
750165,84.28337
750166,75.11428
750167,79.62141
750168,61.685684
750169,37.330315
750170,53.62216
750171,41.682606
750172,3.2184625
750173,40.975002
750174,33.53806
750175,61.262142
750176,99.77498
750177,88.593155
750178,44.88424
750179,5.574025
750180,88.35411
750181,47.388584
750182,111.673935
750183,32.378292
750184,81.99378
750185,33.501675
750186,93.03368
750187,43.801395
750188,11.503946
750189,21.156158
750190,53.73625
750191,26.286161
750192,33.978012
750193,31.492847
750194,44.93457
750195,47.037907
750196,27.942146
750197,10.485443
750198,20.316399
750199,39.757008
750200,34.336487
750201,68.36778
750202,38.294746
750203,50.003918
750204,66.70202
750205,29.952513
750206,20.573578
750207,52.0396
750208,33.07113
750209,43.311234
750210,54.988907
750211,53.138096
750212,57.09928
750213,64.06573
750214,33.827003
750215,72.88118
750216,71.82992
750217,58.718235
750218,6.623501
750219,33.887417
750220,49.158535
750221,32.597588
750222,37.51726
750223,34.393795
750224,71.82849
750225,1.4977462
750226,72.789246
750227,62.244167
750228,37.98016
750229,30.684668
750230,43.243088
750231,27.521378
750232,54.210915
750233,68.16399
750234,24.377033
750235,20.742865
750236,48.674603
750237,33.82482
750238,27.524862
750239,22.327597
750240,88.10221
750241,76.10122
750242,17.117123
750243,46.23806
750244,17.171045
750245,47.472996
750246,47.0901
750247,98.60689
750248,18.657305
750249,84.247604
750250,49.454765
750251,30.286636
750252,44.76059
750253,77.331314
750254,52.49525
750255,27.791258
750256,49.099537
750257,34.16266
750258,8.878593
750259,22.260693
750260,35.675797
750261,54.958424
750262,53.67075
750263,62.222187
750264,30.118153
750265,82.50213
750266,12.964479
750267,19.613297
750268,4.8603
750269,6.5509744
750270,37.729137
750271,58.39238
750272,2.331245
750273,31.832148
750274,49.261604
750275,60.900806
750276,62.26379
750277,10.287867
750278,46.29902
750279,20.293896
750280,45.28973
750281,47.222702
750282,59.28384
750283,70.258736
750284,46.466267
750285,32.329483
750286,6.4618444
750287,75.70911
750288,31.033665
750289,7.4183598
750290,57.49812
750291,59.088127
750292,81.51021
750293,78.03413
750294,52.245846
750295,50.214607
750296,29.620758
750297,11.952356
750298,51.83419
750299,79.9207
750300,50.83127
750301,16.071468
750302,36.263035
750303,18.352217
750304,52.414764
750305,86.44639
750306,44.274624
750307,17.440231
750308,57.64809
750309,15.545154
750310,16.030228
750311,61.82449
750312,45.518803
750313,79.09088
750314,70.39215
750315,5.15681
750316,75.40463
750317,47.00445
750318,22.268595
750319,26.603128
750320,44.581886
750321,33.4505
750322,47.072567
750323,65.428085
750324,73.5878
750325,59.872524
750326,33.291138
750327,48.624203
750328,21.57894
750329,61.760567
750330,71.17972
750331,31.38687
750332,18.847185
750333,15.0438175
750334,25.189749
750335,54.82525
750336,32.279423
750337,75.5014
750338,32.46042
750339,71.98444
750340,35.94121
750341,13.900106
750342,32.05794
750343,15.349971
750344,24.308935
750345,47.783142
750346,78.990906
750347,84.67394
750348,57.119286
750349,21.054766
750350,83.1663
750351,23.11555
750352,71.33399
750353,47.020824
750354,59.803345
750355,38.15582
750356,95.70249
750357,41.94588
750358,68.12003
750359,43.003937
750360,66.680504
750361,50.317398
750362,16.067202
750363,69.054535
750364,30.331284
750365,85.5509
750366,35.730824
750367,65.780334
750368,72.642426
750369,59.64468
750370,79.15806
750371,22.135895
750372,40.864758
750373,19.963413
750374,57.00491
750375,44.960125
750376,16.574118
750377,66.05688
750378,50.5135
750379,8.810087
750380,21.235344
750381,15.73977
750382,72.08345
750383,34.659054
750384,85.83068
750385,41.678703
750386,41.47245
750387,7.409674
750388,23.334278
750389,23.061296
750390,40.276993
750391,23.071812
750392,76.23731
750393,7.7720838
750394,59.227432
750395,57.80695
750396,42.711864
750397,14.995428
750398,71.02234
750399,34.456715
750400,15.095943
750401,74.796364
750402,81.80087
750403,18.398415
750404,19.695154
750405,18.00491
750406,18.723373
750407,39.1884
750408,71.15076
750409,17.748686
750410,54.245506
750411,35.75244
750412,23.609037
750413,34.656254
750414,48.980724
750415,44.47076
750416,66.764984
750417,69.44954
750418,33.806667
750419,33.98011
750420,52.670635
750421,51.16141
750422,7.022702
750423,50.68643
750424,49.806465
750425,73.29143
750426,68.759514
750427,3.6471138
750428,93.73836
750429,0.40117934
750430,59.326096
750431,42.945633
750432,50.955494
750433,24.993746
750434,7.347496
750435,78.17419
750436,59.10082
750437,44.655487
750438,52.298874
750439,17.105486
750440,37.49684
750441,3.2564976
750442,79.115845
750443,65.76381
750444,40.293495
750445,78.9346
750446,50.851894
750447,67.94553
750448,49.7004
750449,19.378195
750450,74.96549
750451,76.58614
750452,78.42013
750453,22.784666
750454,45.690613
750455,62.64657
750456,6.1097846
750457,28.656315
750458,46.98981
750459,20.00602
750460,10.651292
750461,83.90204
750462,52.82408
750463,88.13149
750464,38.023636
750465,71.463806
750466,7.4653425
750467,44.88624
750468,48.102535
750469,18.534872
750470,59.25001
750471,17.870953
750472,48.76552
750473,14.330433
750474,30.554173
750475,2.7137222
750476,21.097597
750477,-2.2555218
750478,33.87434
750479,15.190286
750480,5.37033
750481,54.12186
750482,78.41961
750483,53.68088
750484,78.17764
750485,45.67549
750486,74.39856
750487,70.8373
750488,29.53016
750489,93.918655
750490,58.149788
750491,33.563797
750492,45.42258
750493,32.863243
750494,89.619736
750495,47.94255
750496,89.77547
750497,30.553333
750498,3.507131
750499,70.52027
750500,40.088192
750501,9.972674
750502,64.25721
750503,50.0766
750504,68.85905
750505,45.097416
750506,63.130634
750507,8.566861
750508,4.790291
750509,43.27026
750510,68.48234
750511,41.35476
750512,1.7902566
750513,27.55239
750514,63.143723
750515,5.444441
750516,1.4435652
750517,49.716846
750518,80.81771
750519,69.239624
750520,28.474665
750521,96.65258
750522,47.399426
750523,5.6512594
750524,65.4363
750525,31.240454
750526,51.05296
750527,13.2007265
750528,68.91838
750529,108.0231
750530,37.251778
750531,36.270145
750532,54.593273
750533,52.98924
750534,25.598091
750535,1.5375892
750536,11.182291
750537,44.472626
750538,45.209255
750539,69.12161
750540,27.880463
750541,35.042473
750542,88.97123
750543,68.88608
750544,26.430847
750545,63.002365
750546,57.33186
750547,54.559605
750548,39.83081
750549,64.295204
750550,41.057705
750551,81.27751
750552,51.26802
750553,26.053226
750554,37.1384
750555,48.602184
750556,29.913116
750557,68.7787
750558,30.615412
750559,57.660767
750560,5.8350644
750561,54.898388
750562,97.85362
750563,44.96468
750564,4.697923
750565,55.584934
750566,27.747911
750567,87.623024
750568,50.600506
750569,88.34739
750570,20.24224
750571,42.88583
750572,11.829602
750573,69.75553
750574,103.584816
750575,67.24991
750576,66.78069
750577,42.891792
750578,52.6701
750579,57.361847
750580,19.0701
750581,47.07259
750582,43.855507
750583,9.226824
750584,49.4183
750585,66.61684
750586,76.276825
750587,38.68706
750588,54.305214
750589,53.9021
750590,31.5743
750591,28.423143
750592,50.519054
750593,66.678276
750594,24.613417
750595,57.35138
750596,73.48197
750597,72.9774
750598,27.549713
750599,90.04232
750600,40.2646
750601,50.368004
750602,33.983986
750603,74.42794
750604,18.646246
750605,21.844687
750606,50.33722
750607,78.9422
750608,23.578457
750609,41.93712
750610,38.57176
750611,64.75678
750612,46.785793
750613,50.08586
750614,11.95055
750615,76.71106
750616,31.653196
750617,83.70948
750618,60.315044
750619,73.006195
750620,8.229229
750621,58.277416
750622,20.20942
750623,59.311626
750624,59.657898
750625,81.85362
750626,10.017907
750627,32.697586
750628,68.34367
750629,29.95648
750630,9.161093
750631,18.1937
750632,73.78226
750633,45.06517
750634,75.12429
750635,73.9664
750636,44.41772
750637,51.588615
750638,18.371157
750639,67.09714
750640,60.231052
750641,33.054665
750642,78.129005
750643,30.799706
750644,89.93192
750645,66.57918
750646,17.96074
750647,58.975483
750648,43.57385
750649,67.02567
750650,61.296345
750651,41.81908
750652,45.17291
750653,17.088017
750654,1.4038936
750655,55.680664
750656,20.183033
750657,17.508339
750658,55.437443
750659,44.226585
750660,53.501698
750661,15.522689
750662,80.28404
750663,34.87599
750664,59.935608
750665,40.920578
750666,33.590134
750667,65.388176
750668,17.541395
750669,21.930178
750670,41.581024
750671,66.05741
750672,26.48435
750673,37.057217
750674,60.128296
750675,19.46727
750676,91.76701
750677,90.76938
750678,74.77495
750679,16.3341
750680,28.75057
750681,7.1453843
750682,41.736458
750683,42.257866
750684,47.186234
750685,42.17075
750686,11.603073
750687,55.7466
750688,80.40461
750689,13.210966
750690,4.3905406
750691,13.36566
750692,47.45484
750693,67.669174
750694,14.180201
750695,20.614857
750696,70.479065
750697,84.7462
750698,28.199234
750699,46.633152
750700,55.826645
750701,56.751392
750702,49.787212
750703,43.28934
750704,70.609764
750705,56.854195
750706,51.75673
750707,36.778854
750708,45.492695
750709,39.910625
750710,75.04557
750711,25.311152
750712,26.679945
750713,11.922249
750714,69.91941
750715,45.307205
750716,40.75527
750717,80.825264
750718,73.14084
750719,18.185658
750720,78.42017
750721,48.359543
750722,38.055088
750723,18.115955
750724,15.096291
750725,17.075033
750726,66.21964
750727,55.086708
750728,43.70561
750729,64.10376
750730,76.60576
750731,65.173355
750732,24.507607
750733,18.284035
750734,50.44544
750735,77.880035
750736,63.765713
750737,51.333454
750738,33.88408
750739,56.861023
750740,18.722174
750741,68.08471
750742,38.41871
750743,59.322502
750744,47.331085
750745,68.3348
750746,57.948074
750747,19.643808
750748,43.355534
750749,20.079433
750750,9.559089
750751,35.72618
750752,11.108815
750753,43.774723
750754,63.228428
750755,33.353497
750756,57.733673
750757,26.305868
750758,34.70326
750759,54.343674
750760,97.68838
750761,34.113937
750762,70.47232
750763,37.07859
750764,8.567171
750765,38.582687
750766,2.2596247
750767,43.707733
750768,30.817137
750769,14.902566
750770,81.596535
750771,49.34017
750772,43.562218
750773,63.233776
750774,7.292779
750775,70.500084
750776,29.90071
750777,64.98241
750778,72.64942
750779,7.4103007
750780,44.50097
750781,50.017887
750782,35.80211
750783,16.724804
750784,44.698254
750785,7.3114696
750786,45.27566
750787,31.785444
750788,42.033268
750789,54.373634
750790,5.147582
750791,24.75434
750792,14.477071
750793,6.907254
750794,66.96037
750795,48.002777
750796,70.33625
750797,51.42653
750798,18.669926
750799,10.279779
750800,22.595257
750801,17.137909
750802,40.81716
750803,87.142624
750804,83.23043
750805,64.52656
750806,58.635468
750807,45.1891
750808,81.75258
750809,43.063545
750810,26.521948
750811,40.408722
750812,66.52885
750813,50.247818
750814,23.935692
750815,39.542652
750816,64.79039
750817,42.781223
750818,10.461596
750819,40.209007
750820,45.66357
750821,35.32156
750822,14.454925
750823,53.851753
750824,64.96279
750825,82.01507
750826,82.77916
750827,0.15960386
750828,75.26093
750829,40.105198
750830,55.204483
750831,42.35295
750832,44.491806
750833,26.026447
750834,97.94041
750835,16.559528
750836,69.766106
750837,41.05969
750838,75.141426
750839,64.87597
750840,94.40116
750841,78.84724
750842,76.13218
750843,13.457668
750844,37.079178
750845,34.772884
750846,86.37108
750847,79.89856
750848,4.327262
750849,20.442759
750850,91.34988
750851,47.894012
750852,4.9950843
750853,85.08334
750854,63.507385
750855,56.43544
750856,54.049927
750857,40.951984
750858,74.61379
750859,28.139263
750860,36.522827
750861,33.258007
750862,48.93073
750863,46.944893
750864,30.437267
750865,66.8555
750866,49.449924
750867,5.4645715
750868,58.823944
750869,55.95155
750870,44.764965
750871,29.957834
750872,81.62654
750873,41.350445
750874,73.521
750875,17.005707
750876,43.54431
750877,54.35915
750878,40.091328
750879,31.57346
750880,18.464342
750881,9.827536
750882,14.040573
750883,71.92493
750884,48.82182
750885,40.182323
750886,39.995064
750887,13.844636
750888,81.044304
750889,21.875921
750890,48.608303
750891,49.97385
750892,100.37938
750893,18.582644
750894,58.02681
750895,49.2805
750896,30.876461
750897,65.724464
750898,44.03295
750899,69.81324
750900,3.1747246
750901,0.08567548
750902,80.954895
750903,4.023902
750904,17.161665
750905,49.152546
750906,42.922054
750907,48.424446
750908,66.75632
750909,56.776505
750910,60.91187
750911,41.558186
750912,20.386919
750913,48.937325
750914,40.553364
750915,16.209469
750916,28.514837
750917,50.825417
750918,36.603695
750919,23.845076
750920,64.64048
750921,19.839977
750922,47.18154
750923,17.630875
750924,94.40784
750925,64.21078
750926,74.427986
750927,51.161728
750928,47.849983
750929,95.84247
750930,38.60535
750931,40.436054
750932,47.945087
750933,75.61814
750934,37.566807
750935,33.560966
750936,17.977766
750937,74.94977
750938,78.53378
750939,106.07596
750940,88.07674
750941,46.222244
750942,52.146133
750943,81.59119
750944,-0.29104275
750945,30.007414
750946,45.977535
750947,48.87861
750948,72.703224
750949,21.682386
750950,4.741294
750951,69.94293
750952,26.854834
750953,20.526684
750954,53.861458
750955,26.24874
750956,70.48106
750957,75.01518
750958,67.59227
750959,71.27874
750960,65.849174
750961,68.48474
750962,7.8705983
750963,37.235878
750964,67.9025
750965,62.520004
750966,94.87407
750967,26.222206
750968,21.76082
750969,20.142431
750970,62.609573
750971,41.754517
750972,63.053677
750973,27.750116
750974,28.025274
750975,45.870136
750976,47.426395
750977,67.165054
750978,11.470967
750979,43.900208
750980,45.279377
750981,28.951366
750982,63.910973
750983,16.73394
750984,31.228382
750985,79.022095
750986,58.454536
750987,54.44581
750988,54.27295
750989,67.86185
750990,85.65248
750991,104.79084
750992,76.46858
750993,42.4138
750994,82.212555
750995,66.39299
750996,6.491053
750997,46.61025
750998,80.28466
750999,62.767033
751000,77.71007
751001,58.14511
751002,70.39811
751003,77.023445
751004,74.736984
751005,67.086945
751006,87.54871
751007,54.05067
751008,51.303463
751009,20.452753
751010,63.71611
751011,41.811447
751012,36.467796
751013,28.933664
751014,63.727985
751015,100.18662
751016,17.330193
751017,90.29897
751018,78.24434
751019,64.676575
751020,15.130736
751021,16.742428
751022,61.519516
751023,53.09672
751024,64.18182
751025,82.59719
751026,60.847645
751027,69.093346
751028,66.28225
751029,7.6558256
751030,39.220924
751031,47.106262
751032,15.450696
751033,44.924656
751034,47.531994
751035,7.5035453
751036,68.80588
751037,45.702915
751038,10.992286
751039,75.48166
751040,36.461807
751041,9.0833645
751042,81.652374
751043,77.83137
751044,22.36458
751045,62.181774
751046,51.401276
751047,16.661377
751048,53.6212
751049,60.76956
751050,36.819576
751051,13.882532
751052,36.21473
751053,27.293646
751054,55.10013
751055,38.19598
751056,53.755505
751057,84.70228
751058,43.34065
751059,81.73293
751060,45.14527
751061,38.315533
751062,63.53662
751063,16.99332
751064,13.192076
751065,49.658485
751066,17.025888
751067,37.250156
751068,11.724369
751069,44.161022
751070,87.96006
751071,47.174744
751072,70.7861
751073,64.00841
751074,47.098362
751075,48.786327
751076,49.663555
751077,10.335789
751078,39.001053
751079,8.580304
751080,5.700796
751081,69.476524
751082,47.161118
751083,47.88354
751084,45.33227
751085,-0.09052606
751086,3.438058
751087,2.5775828
751088,68.93155
751089,29.84932
751090,66.74925
751091,21.118374
751092,48.57039
751093,59.940125
751094,65.66505
751095,82.18603
751096,75.96797
751097,68.45739
751098,41.031105
751099,21.286999
751100,29.541111
751101,32.18392
751102,20.537205
751103,65.38244
751104,16.857546
751105,29.662527
751106,1.1517915
751107,45.40291
751108,54.002377
751109,20.460445
751110,45.081917
751111,73.95289
751112,22.92387
751113,55.42917
751114,16.069748
751115,6.466192
751116,82.63397
751117,81.45538
751118,74.821396
751119,77.387215
751120,75.11627
751121,27.378521
