id,Listening_Time_minutes
750000,53.77386
750001,20.241589
750002,49.070843
750003,73.36282
750004,48.73642
750005,22.70857
750006,90.648415
750007,43.10025
750008,67.017624
750009,78.583984
750010,13.945925
750011,22.440428
750012,32.893475
750013,48.27293
750014,46.556137
750015,60.13645
750016,45.754898
750017,35.057632
750018,58.86761
750019,44.995495
750020,38.11017
750021,56.583878
750022,75.43632
750023,30.79546
750024,58.22009
750025,42.854355
750026,12.438544
750027,25.306051
750028,40.77128
750029,44.150787
750030,36.9647
750031,34.826992
750032,12.773718
750033,60.276535
750034,23.63224
750035,21.680735
750036,14.766058
750037,40.31871
750038,26.19397
750039,23.48398
750040,14.069103
750041,86.19171
750042,71.61618
750043,67.73469
750044,50.951824
750045,25.074776
750046,15.378399
750047,51.324047
750048,15.477493
750049,6.66938
750050,82.37634
750051,23.819464
750052,45.042515
750053,76.205765
750054,16.649956
750055,17.347393
750056,76.131874
750057,57.358837
750058,20.453758
750059,42.737537
750060,48.068832
750061,34.664944
750062,71.19289
750063,74.48184
750064,46.314262
750065,14.999697
750066,66.374535
750067,43.27123
750068,56.986675
750069,38.85441
750070,37.259098
750071,41.817165
750072,47.49226
750073,27.695778
750074,43.045097
750075,90.41002
750076,15.559084
750077,11.374206
750078,76.7215
750079,82.1923
750080,44.924843
750081,86.0938
750082,17.126131
750083,76.43699
750084,73.840614
750085,65.29558
750086,55.462204
750087,89.99536
750088,11.664467
750089,46.782368
750090,61.951447
750091,73.673416
750092,39.769615
750093,33.63499
750094,51.871128
750095,32.189896
750096,4.8336964
750097,29.687466
750098,36.501404
750099,13.913625
750100,45.908188
750101,48.530396
750102,49.218323
750103,46.252422
750104,31.157381
750105,32.692955
750106,28.40009
750107,87.441666
750108,61.013
750109,37.432533
750110,53.97674
750111,22.477448
750112,5.059965
750113,76.73846
750114,55.795902
750115,81.11503
750116,87.14202
750117,67.34055
750118,50.03823
750119,22.766546
750120,2.4551723
750121,55.272846
750122,77.558945
750123,61.931118
750124,35.707928
750125,22.25692
750126,62.400887
750127,1.4568607
750128,5.7303424
750129,18.233053
750130,42.881298
750131,29.316635
750132,5.5313635
750133,47.18432
750134,79.047424
750135,32.666862
750136,40.38705
750137,12.196059
750138,93.96011
750139,61.46987
750140,54.42695
750141,50.148838
750142,50.330364
750143,29.948502
750144,62.769176
750145,54.388775
750146,69.36171
750147,66.63354
750148,51.620747
750149,7.666783
750150,24.108889
750151,44.88449
750152,53.915894
750153,51.41803
750154,58.811543
750155,14.861432
750156,3.6554952
750157,69.81528
750158,21.868414
750159,34.273464
750160,53.020084
750161,44.368984
750162,56.654015
750163,18.631113
750164,84.95923
750165,85.80846
750166,71.922554
750167,82.900024
750168,60.586704
750169,42.142445
750170,54.125443
750171,42.215885
750172,1.5428319
750173,39.097183
750174,36.84176
750175,61.605938
750176,103.2831
750177,86.59999
750178,44.34938
750179,5.4784656
750180,87.33
750181,44.051193
750182,106.11273
750183,34.41162
750184,87.28963
750185,33.903526
750186,88.02439
750187,46.360596
750188,12.017659
750189,22.045122
750190,52.679123
750191,27.450018
750192,33.949112
750193,31.700832
750194,42.651894
750195,48.791164
750196,28.877937
750197,9.921931
750198,20.420492
750199,40.030685
750200,41.13728
750201,68.0768
750202,38.189526
750203,51.71731
750204,65.58689
750205,29.161688
750206,19.90165
750207,52.501514
750208,33.597443
750209,45.044285
750210,54.677254
750211,52.85362
750212,59.944397
750213,65.58717
750214,33.888985
750215,70.21613
750216,74.97187
750217,53.31672
750218,7.6715918
750219,34.92312
750220,45.65954
750221,31.842833
750222,37.769417
750223,33.74813
750224,70.77986
750225,3.4276075
750226,78.37235
750227,64.14919
750228,38.719715
750229,28.095373
750230,41.104404
750231,28.451519
750232,54.27637
750233,66.12408
750234,25.040182
750235,21.721153
750236,48.963005
750237,33.913208
750238,26.297085
750239,22.153616
750240,85.17877
750241,77.78117
750242,18.25642
750243,45.89596
750244,17.474749
750245,48.464993
750246,45.273743
750247,96.28154
750248,18.091589
750249,85.22486
750250,53.14599
750251,31.927015
750252,43.679787
750253,78.25379
750254,46.67366
750255,27.721571
750256,48.96465
750257,31.743198
750258,8.064729
750259,23.94694
750260,36.044426
750261,50.706875
750262,54.866703
750263,57.600647
750264,30.461843
750265,78.30109
750266,13.223462
750267,19.31739
750268,4.978697
750269,6.4415317
750270,41.109577
750271,57.524925
750272,1.8918923
750273,32.601562
750274,49.010296
750275,64.172455
750276,61.864944
750277,10.05157
750278,44.21064
750279,20.638973
750280,46.492874
750281,47.698826
750282,57.245586
750283,71.20018
750284,47.12491
750285,32.92759
750286,5.5682616
750287,73.6698
750288,34.38288
750289,7.0518208
750290,58.018944
750291,58.98974
750292,79.04746
750293,77.87369
750294,48.234505
750295,49.620007
750296,29.458935
750297,12.490102
750298,49.941223
750299,82.42094
750300,50.972572
750301,14.484774
750302,35.336708
750303,17.347172
750304,47.759388
750305,83.61867
750306,46.43389
750307,17.221607
750308,56.64373
750309,16.708153
750310,14.632055
750311,59.84583
750312,45.25914
750313,76.43633
750314,66.68687
750315,5.5557237
750316,75.46829
750317,43.211292
750318,21.899914
750319,26.33404
750320,43.82056
750321,32.38998
750322,48.293156
750323,68.757195
750324,73.55609
750325,58.832935
750326,32.634853
750327,48.28966
750328,22.329668
750329,62.93204
750330,76.37972
750331,30.495014
750332,20.198128
750333,15.931966
750334,26.8421
750335,55.980385
750336,31.388485
750337,79.06799
750338,35.234962
750339,74.54491
750340,35.003254
750341,15.052963
750342,33.99784
750343,17.30037
750344,25.158968
750345,48.56613
750346,76.16108
750347,94.49169
750348,59.362682
750349,20.30695
750350,83.03156
750351,23.454185
750352,74.21488
750353,49.1973
750354,61.70767
750355,38.877674
750356,92.83303
750357,41.61794
750358,66.63829
750359,43.86124
750360,71.35563
750361,48.772175
750362,16.68792
750363,72.806114
750364,31.340944
750365,87.68993
750366,38.201385
750367,67.5477
750368,72.08428
750369,59.79451
750370,75.618744
750371,20.9695
750372,45.320007
750373,20.021433
750374,56.301693
750375,46.47559
750376,17.616768
750377,70.03301
750378,50.75356
750379,9.027596
750380,20.906033
750381,16.344423
750382,73.59469
750383,41.96162
750384,84.9368
750385,42.663227
750386,40.174644
750387,7.926696
750388,23.502407
750389,22.130789
750390,39.694942
750391,22.662561
750392,76.13794
750393,8.079689
750394,59.965286
750395,60.869247
750396,42.571033
750397,15.164466
750398,74.96088
750399,34.86712
750400,14.15263
750401,74.377686
750402,84.656624
750403,19.070353
750404,18.865204
750405,18.186226
750406,19.836157
750407,41.776196
750408,70.58248
750409,18.515474
750410,52.455105
750411,34.50521
750412,24.85706
750413,36.301346
750414,53.195686
750415,47.143314
750416,69.09636
750417,64.89421
750418,33.51524
750419,36.48352
750420,50.51214
750421,50.589306
750422,7.6461906
750423,47.757442
750424,50.81902
750425,75.061966
750426,67.93389
750427,3.6531396
750428,93.958336
750429,0.176118
750430,60.155647
750431,41.65584
750432,49.2622
750433,23.887726
750434,6.161565
750435,80.27684
750436,58.545315
750437,44.724163
750438,54.376293
750439,15.700439
750440,40.044323
750441,1.9724305
750442,77.99327
750443,66.75077
750444,41.367847
750445,77.46797
750446,50.153908
750447,67.09911
750448,48.924294
750449,21.12324
750450,77.80382
750451,77.95998
750452,74.15177
750453,22.810446
750454,43.799625
750455,67.58027
750456,7.364372
750457,29.111164
750458,45.539078
750459,19.202389
750460,9.8561735
750461,81.702835
750462,55.063087
750463,85.643166
750464,38.856495
750465,76.096695
750466,7.116489
750467,43.19513
750468,46.612465
750469,17.883703
750470,59.752846
750471,18.907495
750472,50.09634
750473,15.0848675
750474,28.637486
750475,1.9260807
750476,19.16178
750477,0.07602626
750478,34.826717
750479,16.690807
750480,5.100664
750481,54.126457
750482,80.03076
750483,49.800674
750484,75.76343
750485,48.64672
750486,74.988045
750487,73.78712
750488,28.673935
750489,90.82687
750490,59.23865
750491,35.528954
750492,46.240204
750493,32.686058
750494,84.53999
750495,46.522354
750496,88.88711
750497,32.645397
750498,4.111354
750499,68.76189
750500,35.441246
750501,11.329846
750502,64.51592
750503,46.652203
750504,68.84161
750505,49.51854
750506,60.962856
750507,8.123133
750508,5.170102
750509,46.668736
750510,67.99047
750511,40.160366
750512,1.7125251
750513,29.264376
750514,63.90507
750515,4.125416
750516,2.0024176
750517,51.7669
750518,79.24544
750519,67.923706
750520,28.73081
750521,89.63307
750522,44.405685
750523,7.573009
750524,66.97579
750525,30.184488
750526,54.65234
750527,11.745037
750528,70.76438
750529,98.59702
750530,37.85382
750531,36.95842
750532,53.839725
750533,56.94202
750534,28.048296
750535,1.4348708
750536,9.510145
750537,44.95412
750538,47.441586
750539,75.773
750540,26.484917
750541,43.073452
750542,87.43169
750543,70.0676
750544,28.066427
750545,64.57493
750546,58.859215
750547,53.316498
750548,42.1682
750549,63.708954
750550,41.468105
750551,84.48311
750552,54.237022
750553,24.298197
750554,39.63577
750555,44.911495
750556,31.077951
750557,68.19401
750558,29.56099
750559,59.824608
750560,5.719154
750561,56.61244
750562,91.44495
750563,51.037914
750564,5.4555845
750565,51.1801
750566,28.492302
750567,91.16498
750568,49.837116
750569,90.36426
750570,20.134977
750571,40.862583
750572,12.431375
750573,65.40581
750574,99.081764
750575,67.00487
750576,70.03615
750577,41.23589
750578,57.42936
750579,55.637955
750580,19.018023
750581,49.14108
750582,47.52826
750583,8.13087
750584,50.38196
750585,60.49326
750586,75.55791
750587,42.17784
750588,51.89843
750589,53.6421
750590,29.936232
750591,28.669067
750592,49.532475
750593,65.28466
750594,24.81413
750595,58.38856
750596,73.72417
750597,75.94859
750598,27.796444
750599,89.8082
