id,Listening_Time_minutes
750000,54.924313
750001,20.277317
750002,48.014557
750003,75.15379
750004,49.94169
750005,21.664043
750006,87.34794
750007,40.606125
750008,66.89479
750009,77.62688
750010,14.417039
750011,22.463585
750012,32.37103
750013,50.672554
750014,44.573856
750015,57.391857
750016,47.635147
750017,35.116245
750018,58.629143
750019,43.709496
750020,37.640873
750021,58.772076
750022,76.34057
750023,30.717566
750024,58.373947
750025,44.156326
750026,13.364072
750027,25.35373
750028,40.682655
750029,52.05586
750030,37.14152
750031,35.395123
750032,14.4258
750033,57.100628
750034,23.176815
750035,22.338959
750036,14.879708
750037,38.8879
750038,24.494976
750039,22.762648
750040,14.286127
750041,83.477325
750042,71.01305
750043,69.85031
750044,50.34235
750045,26.806564
750046,15.443725
750047,54.22497
750048,16.190928
750049,6.755525
750050,79.69696
750051,23.708422
750052,51.185543
750053,75.06398
750054,17.757927
750055,18.89926
750056,76.23342
750057,57.36346
750058,20.723312
750059,42.262268
750060,47.659737
750061,37.307743
750062,71.75262
750063,75.185936
750064,46.999332
750065,15.330565
750066,66.39303
750067,44.53992
750068,55.615944
750069,38.644157
750070,37.848923
750071,41.061363
750072,45.05495
750073,27.66759
750074,45.259544
750075,98.85062
750076,14.7972765
750077,11.041774
750078,74.60122
750079,87.70424
750080,45.55914
750081,90.82814
750082,16.977629
750083,77.05748
750084,68.59883
750085,65.13181
750086,57.89222
750087,90.208694
750088,11.496328
750089,49.08218
750090,64.91943
750091,73.72983
750092,37.739555
750093,34.144062
750094,51.88777
750095,31.581423
750096,5.3216624
750097,29.958132
750098,35.87455
750099,13.985842
750100,43.495346
750101,49.138325
750102,51.49607
750103,49.308525
750104,30.752289
750105,33.328537
750106,27.967161
750107,85.547585
750108,56.603996
750109,38.4674
750110,60.51115
750111,23.034199
750112,5.4000754
750113,75.9589
750114,55.510174
750115,78.73836
750116,83.702705
750117,65.69812
750118,49.67109
750119,22.926617
750120,3.0431511
750121,57.26544
750122,71.507805
750123,59.293186
750124,36.568428
750125,22.221992
750126,63.586884
750127,2.5403154
750128,5.8467913
750129,18.658773
750130,44.925255
750131,29.89102
750132,5.450113
750133,44.467186
750134,81.640564
750135,35.541195
750136,46.541298
750137,12.784356
750138,94.00287
750139,59.344734
750140,54.413372
750141,46.396057
750142,49.743427
750143,29.25276
750144,59.72317
750145,54.0078
750146,74.5576
750147,64.83402
750148,47.978783
750149,7.6754136
750150,26.794218
750151,45.751034
750152,52.985973
750153,54.34656
750154,59.862972
750155,14.475102
750156,4.44117
750157,68.09931
750158,22.018124
750159,34.267235
750160,53.32427
750161,53.847214
750162,57.585613
750163,20.167027
750164,85.81413
750165,84.40003
750166,73.97892
750167,80.84195
750168,62.095654
750169,35.83846
750170,51.807484
750171,40.490414
750172,3.0153918
750173,38.279743
750174,35.971024
750175,61.29205
750176,107.9424
750177,87.7122
750178,43.738205
750179,5.654154
750180,87.007904
750181,43.998257
750182,108.46215
750183,32.910713
750184,86.52623
750185,32.497536
750186,88.02578
750187,46.461143
750188,12.174982
750189,20.765232
750190,52.415215
750191,26.299994
750192,32.221123
750193,33.384968
750194,45.355537
750195,52.73841
750196,26.513435
750197,10.369746
750198,20.347254
750199,38.271393
750200,40.796753
750201,72.33922
750202,37.970142
750203,48.600185
750204,66.94617
750205,29.892605
750206,20.744205
750207,54.267204
750208,33.744293
750209,43.140266
750210,55.602528
750211,50.199657
750212,59.31248
750213,64.638
750214,33.095257
750215,72.435295
750216,76.25994
750217,54.27287
750218,7.561524
750219,32.886242
750220,45.745262
750221,30.380476
750222,37.114838
750223,33.26422
750224,72.52891
750225,3.4458866
750226,70.952324
750227,66.92462
750228,38.510033
750229,29.130024
750230,41.475155
750231,27.102587
750232,53.884445
750233,68.85606
750234,23.527431
750235,21.557858
750236,53.5061
750237,33.93854
750238,28.041853
750239,20.960274
750240,86.45211
750241,75.074875
750242,17.697666
750243,45.5095
750244,16.901796
750245,51.97342
750246,43.31089
750247,98.00363
750248,18.379253
750249,87.027016
750250,51.448185
750251,31.87764
750252,45.20964
750253,76.55266
750254,48.178314
750255,24.43871
750256,49.308487
750257,33.614067
750258,8.609823
750259,22.46732
750260,37.26684
750261,51.740433
750262,56.511456
750263,59.088448
750264,29.457418
750265,84.61666
750266,12.739803
750267,18.93774
750268,4.704495
750269,6.956525
750270,38.4628
750271,57.510273
750272,2.5539722
750273,32.800957
750274,50.840736
750275,63.011017
750276,60.950314
750277,10.110527
750278,48.692566
750279,20.749842
750280,41.677654
750281,45.439518
750282,56.836628
750283,68.9009
750284,45.95747
750285,33.68675
750286,5.5950255
750287,74.507866
750288,32.85741
750289,7.150041
750290,57.39211
750291,58.31047
750292,77.14997
750293,76.391266
750294,50.263443
750295,50.88729
750296,30.05096
750297,11.652646
750298,51.203156
750299,82.07457
750300,48.96448
750301,14.822494
750302,36.204914
750303,16.982687
750304,53.382732
750305,90.30134
750306,46.010296
750307,17.077883
750308,57.030956
750309,16.556885
750310,15.600332
750311,57.988804
750312,46.941906
750313,73.791565
750314,68.3966
750315,5.7961264
750316,74.94905
750317,43.20078
750318,22.55911
750319,27.98061
750320,44.059746
750321,31.989815
750322,44.841732
750323,64.60573
750324,75.27784
750325,59.331944
750326,32.444496
750327,46.8057
750328,21.68823
750329,64.175026
750330,79.45843
750331,32.16782
750332,19.568335
750333,14.457006
750334,24.315716
750335,57.577393
750336,33.671673
750337,80.69561
750338,34.769127
750339,76.078804
750340,36.06337
750341,14.4353285
750342,34.885563
750343,16.669735
750344,25.253742
750345,49.608456
750346,79.45097
750347,90.75904
750348,58.671528
750349,16.970554
750350,78.25044
750351,24.872557
750352,68.4169
750353,46.28644
750354,66.35242
750355,38.280563
750356,97.767395
750357,42.003654
750358,69.1958
750359,46.176464
750360,69.27515
750361,46.697624
750362,16.58287
750363,70.975136
750364,31.582281
750365,86.96019
750366,40.1011
750367,66.291145
750368,70.287254
750369,58.847675
750370,76.00145
750371,20.788494
750372,43.25542
750373,19.141644
750374,56.229057
750375,45.866615
750376,17.354883
750377,68.395065
750378,49.572056
750379,9.230082
750380,21.293053
750381,15.084774
750382,72.88437
750383,41.72211
750384,87.91108
750385,41.324867
750386,39.952183
750387,8.534454
750388,23.698103
750389,22.855103
750390,42.015358
750391,23.397087
750392,73.86926
750393,7.8908434
750394,63.899105
750395,61.083195
750396,42.452812
750397,15.706935
750398,72.923256
750399,33.834583
750400,14.450485
750401,74.104004
750402,84.01926
750403,19.877434
750404,20.181545
750405,18.191875
750406,21.79168
750407,38.515087
750408,74.05363
750409,18.258371
750410,51.86123
750411,32.39843
750412,23.783356
750413,33.85352
750414,51.46445
750415,50.440773
750416,68.76432
750417,70.214676
750418,33.474594
750419,34.05739
750420,51.551033
750421,50.491623
750422,7.2226086
750423,48.17868
750424,51.386448
750425,72.566536
750426,68.33635
750427,5.455051
750428,92.07158
750429,0.34616807
750430,61.047432
750431,41.596897
750432,50.423187
750433,23.258026
750434,7.5938263
750435,74.03534
750436,57.78941
750437,42.03173
750438,57.50316
750439,13.831434
750440,37.0428
750441,1.8284318
750442,76.58456
750443,65.62341
750444,42.454395
750445,76.40016
750446,50.909653
750447,70.75131
750448,50.199192
750449,20.776524
750450,74.59991
750451,79.575035
750452,78.09705
750453,22.761486
750454,45.24848
750455,66.74643
750456,7.11959
750457,29.306213
750458,47.95731
750459,19.973513
750460,9.898183
750461,83.900604
750462,54.88147
750463,82.665825
750464,39.850048
750465,73.24722
750466,6.9815326
750467,45.57015
750468,44.654507
750469,18.004578
750470,55.039818
750471,18.48192
750472,51.450558
750473,15.290952
750474,28.486696
750475,4.607232
750476,20.649302
750477,-0.5402632
750478,33.683655
750479,16.941822
750480,4.9233894
750481,52.43936
750482,81.31353
750483,50.94437
750484,75.38119
750485,48.22067
750486,72.65258
750487,72.288345
750488,28.777851
750489,93.1928
750490,56.147896
750491,33.891193
750492,48.425568
750493,32.63568
750494,87.52735
750495,45.23343
750496,87.8694
750497,30.341831
750498,3.5014617
750499,69.13144
750500,35.56635
750501,10.227527
750502,65.40108
750503,49.929626
750504,71.32234
750505,46.786266
750506,63.287064
750507,7.0051217
750508,5.5142374
750509,45.33375
750510,64.63228
750511,39.642994
750512,2.0919886
750513,29.61578
750514,62.560936
750515,4.436577
750516,1.2416837
750517,51.23525
750518,79.00156
750519,67.74174
750520,29.446575
750521,88.16806
750522,47.090202
750523,6.260709
750524,68.803276
750525,29.970083
750526,49.302856
750527,11.5729265
750528,68.4794
750529,99.73647
750530,35.264576
750531,37.738045
750532,53.270947
750533,54.414806
750534,28.119017
750535,2.0881102
750536,9.996035
750537,43.532444
750538,45.721622
750539,69.11142
750540,27.26933
750541,34.75739
750542,87.101654
750543,70.946144
750544,26.743183
750545,63.2514
750546,56.577522
750547,55.676388
750548,41.82243
750549,62.523518
750550,42.564983
750551,81.77072
750552,50.22221
750553,24.331406
750554,36.257225
750555,46.782448
750556,30.788809
750557,69.65031
750558,29.593624
750559,58.59384
750560,6.632866
750561,55.377506
750562,91.77279
750563,46.493076
750564,5.5260167
750565,52.62311
750566,27.853504
750567,88.27635
750568,50.973392
750569,88.37727
750570,20.735043
750571,45.773766
750572,11.526982
750573,65.22473
750574,101.646904
750575,69.722305
750576,66.21555
750577,46.40811
750578,53.09048
750579,55.792038
750580,20.019936
750581,51.975113
750582,46.0584
750583,7.4191837
750584,48.373253
750585,65.73576
750586,75.09118
750587,43.68805
750588,51.305016
750589,55.238976
750590,30.472553
750591,27.55214
750592,44.662872
750593,66.209854
750594,24.924295
750595,55.564617
750596,72.44231
750597,73.153755
750598,27.383375
750599,87.40318
750600,42.475357
750601,50.316093
750602,34.778954
750603,74.2923
750604,17.097374
750605,21.661215
750606,51.575516
750607,82.87634
750608,23.098791
750609,45.305676
750610,39.632626
750611,66.96041
750612,45.30812
750613,49.25633
750614,11.638818
750615,77.18226
750616,32.247425
750617,86.11911
750618,61.25898
750619,73.92309
750620,8.237164
750621,62.106373
750622,20.339705
750623,59.81591
750624,57.106853
750625,80.699524
750626,10.111225
750627,33.25908
750628,64.96601
750629,29.889816
750630,9.258581
750631,18.20899
750632,75.30699
750633,45.92628
750634,77.05118
750635,73.77918
750636,42.728653
750637,47.59241
750638,19.779411
750639,75.52134
750640,58.62618
750641,32.496525
750642,78.01827
750643,28.963978
750644,82.90039
750645,66.05773
750646,16.278624
750647,58.487534
750648,44.491665
750649,66.05436
750650,65.77576
750651,42.7851
750652,46.246845
750653,17.299246
750654,1.2654933
750655,51.785294
750656,19.460443
750657,17.451237
750658,57.57622
750659,44.148155
750660,49.30473
750661,15.681485
750662,74.297424
750663,34.870117
750664,57.31441
750665,39.776306
750666,34.41728
750667,65.89286
750668,17.404385
750669,21.272259
750670,41.641342
750671,65.48673
750672,25.56114
750673,35.754875
750674,58.812634
750675,20.915714
750676,87.12144
750677,91.61064
750678,79.36411
750679,14.9826765
750680,31.191732
750681,6.1878724
